[04.39.37] [INFO] EXEC: menu | Method: Prefix | RAM: 257.80MB
[08.33.26] [INFO] EXEC: aimenu | Method: Prefix | RAM: 273.38MB
[08.33.48] [INFO] EXEC: aiaomenu | Method: Prefix | RAM: 299.76MB
[08.36.38] [INFO] EXEC: aimenu | Method: Prefix | RAM: 294.38MB
[09.02.30] [INFO] EXEC: aimenu | Method: Prefix | RAM: 268.61MB
[09.15.42] [INFO] EXEC: aimenu | Method: Prefix | RAM: 267.38MB
[09.17.03] [INFO] EXEC: downloadmenu | Method: Prefix | RAM: 262.60MB
[09.18.20] [INFO] EXEC: downloadmenu | Method: Prefix | RAM: 275.08MB
[09.19.10] [INFO] EXEC: downloadmenu | Method: Prefix | RAM: 269.48MB
[09.26.07] [INFO] EXEC: aimenu | Method: Prefix | RAM: 266.00MB
[09.26.18] [INFO] EXEC: downloadmenu | Method: Prefix | RAM: 290.65MB
[09.27.06] [INFO] EXEC: aimenu | Method: Prefix | RAM: 267.62MB
[09.28.55] [INFO] EXEC: aimenu | Method: Prefix | RAM: 272.21MB
[09.29.54] [INFO] EXEC: aimenu | Method: Prefix | RAM: 263.95MB
[09.32.46] [INFO] EXEC: aimenu | Method: Prefix | RAM: 264.92MB
[09.41.21] [INFO] EXEC: downloadmenu | Method: Prefix | RAM: 265.80MB
[09.41.37] [INFO] EXEC: aimenu | Method: Prefix | RAM: 292.05MB
[09.41.49] [INFO] EXEC: downloadmenu | Method: Prefix | RAM: 322.39MB
[09.42.51] [INFO] EXEC: aimenu | Method: Prefix | RAM: 330.05MB
[09.44.24] [INFO] EXEC: aimenu | Method: Prefix | RAM: 272.39MB
[09.47.13] [INFO] EXEC: aimenu | Method: Prefix | RAM: 263.37MB
[09.48.09] [INFO] EXEC: aimenu | Method: Prefix | RAM: 259.68MB
[09.49.53] [INFO] EXEC: aimenu | Method: Prefix | RAM: 274.18MB
[09.50.12] [INFO] EXEC: downloadmenu | Method: Prefix | RAM: 299.43MB
[12.20.44] [INFO] EXEC: allmenu | Method: Prefix | RAM: 265.78MB
[12.21.15] [INFO] EXEC: menu | Method: Prefix | RAM: 320.84MB
[12.21.21] [INFO] EXEC: aimenu | Method: Prefix | RAM: 335.18MB
[12.22.46] [INFO] EXEC: start | Method: Prefix | RAM: 258.72MB
[12.22.53] [INFO] EXEC: allmenu | Method: Prefix | RAM: 297.48MB
[12.23.03] [INFO] EXEC: ownermenu | Method: Prefix | RAM: 339.54MB
[12.29.40] [INFO] EXEC: menu | Method: Prefix | RAM: 293.11MB
[12.29.47] [INFO] EXEC: settingsmenu | Method: Prefix | RAM: 331.71MB
[12.34.31] [INFO] EXEC: allmenu | Method: Prefix | RAM: 266.27MB
[12.37.39] [INFO] EXEC: allmenu | Method: Prefix | RAM: 280.53MB
[12.38.04] [INFO] EXEC: toolsmenu | Method: Prefix | RAM: 327.96MB
[12.38.16] [INFO] EXEC: grupmenu | Method: Prefix | RAM: 353.88MB
[12.41.49] [INFO] EXEC: menu | Method: Prefix | RAM: 273.21MB
[12.42.08] [INFO] EXEC: othermenu | Method: Prefix | RAM: 293.52MB
[14.24.04] [INFO] EXEC: allmenu | Method: Prefix | RAM: 265.02MB
[14.27.03] [INFO] EXEC: aimenu | Method: Prefix | RAM: 291.86MB
[14.28.43] [INFO] EXEC: aimenu | Method: Prefix | RAM: 289.79MB
[14.33.41] [INFO] EXEC: assistantmenu | Method: Prefix | RAM: 262.75MB
[14.34.20] [INFO] EXEC: menu | Method: Prefix | RAM: 333.98MB
[14.34.28] [INFO] EXEC: assistantmenu | Method: Prefix | RAM: 362.00MB
[14.35.25] [INFO] EXEC: assistantmenu | Method: Prefix | RAM: 268.24MB
[14.36.32] [INFO] EXEC: assistantmenu | Method: Prefix | RAM: 269.85MB
[14.39.00] [INFO] EXEC: assistantmenu | Method: Prefix | RAM: 263.47MB
[14.39.01] [ERROR] Plugin Failure: assistantmenu | assistantmenu is not defined
[14.39.01] [ERROR-TRACE] at Object.exec (file:///workspaces/castorice-assistant-by-radja/plugins/main-menu/assistantmenu.js?u=1770043130525:121:23)
[14.40.01] [INFO] EXEC: assistantmenu | Method: Prefix | RAM: 288.70MB
[17.52.45] [INFO] EXEC: ownermenu | Method: Prefix | RAM: 290.00MB
[17.55.42] [INFO] EXEC: aimenu | Method: Prefix | RAM: 259.68MB
[17.55.55] [INFO] EXEC: assistantmenu | Method: Prefix | RAM: 299.39MB
[17.57.45] [INFO] EXEC: allmenu | Method: Prefix | RAM: 279.70MB
[17.58.54] [INFO] EXEC: ownermenu | Method: Prefix | RAM: 258.31MB
[17.59.07] [INFO] EXEC: aimenu | Method: Prefix | RAM: 317.10MB
[17.59.19] [INFO] EXEC: assistantmenu | Method: Prefix | RAM: 338.89MB
[18.00.16] [INFO] EXEC: ownermenu | Method: Prefix | RAM: 389.11MB
[18.03.26] [INFO] EXEC: assistantmenu | Method: Prefix | RAM: 271.20MB
[18.04.45] [INFO] EXEC: assistantmenu | Method: Prefix | RAM: 283.26MB
[18.06.16] [INFO] EXEC: assistantmenu | Method: Prefix | RAM: 270.41MB
[18.07.34] [INFO] EXEC: assistantmenu | Method: Prefix | RAM: 277.12MB
[18.11.13] [INFO] EXEC: assistantmenu | Method: Prefix | RAM: 269.33MB
[18.17.23] [INFO] EXEC: assistantmenu | Method: Prefix | RAM: 266.95MB
[18.22.29] [INFO] EXEC: assistantmenu | Method: Prefix | RAM: 270.53MB
[18.23.33] [INFO] EXEC: assistantmenu | Method: Prefix | RAM: 271.29MB
[18.24.51] [INFO] EXEC: assistantmenu | Method: Prefix | RAM: 266.63MB
[18.26.05] [INFO] EXEC: assistantmenu | Method: Prefix | RAM: 272.62MB
[18.26.58] [INFO] EXEC: assistantmenu | Method: Prefix | RAM: 288.31MB
[18.30.57] [INFO] EXEC: aimenu | Method: Prefix | RAM: 265.61MB
[18.35.24] [INFO] EXEC: allmenu | Method: Prefix | RAM: 261.24MB
[18.37.54] [INFO] EXEC: gachawuwa | Method: Prefix | RAM: 241.79MB
[18.41.06] [INFO] EXEC: ownermenu | Method: Prefix | RAM: 261.09MB
[18.44.35] [INFO] EXEC: ownermenu | Method: Prefix | RAM: 264.25MB
[18.45.37] [INFO] EXEC: menu | Method: Prefix | RAM: 330.25MB
[18.45.51] [INFO] EXEC: aimenu | Method: Prefix | RAM: 346.93MB
[18.48.21] [INFO] EXEC: menu | Method: Prefix | RAM: 266.41MB
[18.48.29] [INFO] EXEC: aimenu | Method: Prefix | RAM: 316.48MB
[18.50.14] [INFO] EXEC: aimenu | Method: Prefix | RAM: 249.48MB
[18.50.22] [INFO] EXEC: assistantmenu | Method: Prefix | RAM: 261.82MB
[18.51.59] [INFO] EXEC: allmenu | Method: Prefix | RAM: 337.36MB
[18.53.16] [INFO] EXEC: ownermenu | Method: Prefix | RAM: 338.78MB
[18.59.41] [INFO] EXEC: aimenu | Method: Prefix | RAM: 264.41MB
[19.01.00] [INFO] EXEC: aimenu | Method: Prefix | RAM: 322.79MB
[19.13.39] [INFO] EXEC: aimenu | Method: Prefix | RAM: 255.34MB
[19.14.26] [INFO] EXEC: allmenu | Method: Prefix | RAM: 316.47MB
[19.14.57] [INFO] EXEC: ownermenu | Method: Prefix | RAM: 333.00MB
[19.15.24] [INFO] EXEC: assistantmenu | Method: Prefix | RAM: 370.37MB
[19.17.57] [INFO] EXEC: allmenu | Method: Prefix | RAM: 261.16MB
[19.20.14] [INFO] EXEC: allmenu | Method: Prefix | RAM: 287.46MB
[19.21.37] [INFO] EXEC: allmenu | Method: Prefix | RAM: 267.79MB
[19.21.46] [INFO] EXEC: aimenu | Method: Prefix | RAM: 338.19MB
[19.27.54] [INFO] EXEC: allmenu | Method: Prefix | RAM: 281.36MB
[19.28.04] [INFO] EXEC: aimenu | Method: Prefix | RAM: 354.22MB
[19.46.37] [INFO] EXEC: aimenu | Method: Prefix | RAM: 268.93MB
[19.46.47] [INFO] EXEC: allmenu | Method: Prefix | RAM: 332.05MB
[19.51.36] [INFO] EXEC: allmenu | Method: Prefix | RAM: 266.82MB
[19.52.03] [INFO] EXEC: aimenu | Method: Prefix | RAM: 304.07MB
[19.54.04] [INFO] EXEC: allmenu | Method: Prefix | RAM: 270.92MB
[19.54.12] [INFO] EXEC: aimenu | Method: Prefix | RAM: 343.98MB
[20.09.44] [SYSTEM] Database baru diinisialisasi.
[20.09.52] [INFO] EXEC: menu | Method: Prefix | RAM: 275.56MB
[20.09.55] [INFO] EXEC: menu | Method: Prefix | RAM: 304.50MB
[20.20.05] [INFO] EXEC: allmenu | Method: Prefix | RAM: 267.57MB
[20.38.16] [SYSTEM] Database baru diinisialisasi.
[20.38.26] [INFO] EXEC: allmenu | Method: Prefix | RAM: 270.39MB
[20.40.29] [INFO] EXEC: assistantmenu | Method: Prefix | RAM: 255.24MB
[20.46.29] [SYSTEM] Database baru diinisialisasi.
[20.46.47] [INFO] EXEC: allmenu | Method: Prefix | RAM: 272.50MB
[20.49.10] [INFO] EXEC: aimenu | Method: Prefix | RAM: 266.48MB
[20.50.13] [INFO] EXEC: menu | Method: Prefix | RAM: 317.11MB
[20.51.39] [INFO] EXEC: menu | Method: Prefix | RAM: 261.99MB
[20.52.09] [INFO] EXEC: allmenu | Method: Prefix | RAM: 317.21MB
[20.54.11] [SYSTEM] Database baru diinisialisasi.
[20.54.32] [INFO] EXEC: menu | Method: Prefix | RAM: 291.54MB
[20.55.15] [INFO] EXEC: menu | Method: Prefix | RAM: 259.08MB
[20.55.55] [INFO] EXEC: allmenu | Method: Prefix | RAM: 319.85MB
[20.58.54] [INFO] EXEC: menu | Method: Prefix | RAM: 261.76MB
[20.59.06] [INFO] EXEC: othermenu | Method: Prefix | RAM: 321.26MB
[21.01.34] [INFO] EXEC: menu | Method: Prefix | RAM: 249.48MB
[21.01.36] [ERROR] Plugin Failure: menu | command is not defined
[21.01.36] [ERROR-TRACE] at Object.exec (file:///workspaces/castorice-assistant-by-radja/plugins/main-menu/menu.js?u=1770066045866:74:38)
[21.07.11] [INFO] EXEC: menu | Method: Prefix | RAM: 259.33MB
[21.09.33] [INFO] EXEC: menu | Method: Prefix | RAM: 272.43MB
[21.09.55] [INFO] EXEC: aimenu | Method: Prefix | RAM: 332.84MB
[21.10.03] [INFO] EXEC: castorice | Method: Prefix | RAM: 345.82MB
[21.18.21] [INFO] EXEC: castorice | Method: Prefix | RAM: 260.99MB
